"CELL_LINE","COMPOUND_A","COMPOUND_B","MAX_CONC_A","MAX_CONC_B","IC50_A","H_A","Einf_A","IC50_B","H_B","Einf_B","SYNERGY_SCORE","QA","COMBINATION_ID"
"MDA-MB-436","ATR_4","BCL2_BCL2L1","1","1",0.317959564,10,85.49982841,0.31881458,10,63.39959543,NA,1,"ATR_4.BCL2_BCL2L1"
"MFM-223","ATR_4","BCL2_BCL2L1","1","1",0.734221037,1.6536417,38.88514667,1,10,51.20014425,NA,1,"ATR_4.BCL2_BCL2L1"
"CAL-120","ATR_4","MAP2K_1","1","1",1,10,58.40000953,0.352059601,10,74.39924572,NA,1,"ATR_4.MAP2K_1"
"CAMA-1","ATR_4","MAP2K_1","1","1",1,0,100,1,10,28.80017956,NA,1,"ATR_4.MAP2K_1"
"HCC1187","ATR_4","MAP2K_1","1","1",0.037288204,0.7344054,49.1081666,1,1.8538812,11.42543362,NA,1,"ATR_4.MAP2K_1"
"HCC1395","ATR_4","MAP2K_1","1","1",1,0.5366011,53.75416498,0.396598016,1.9073156,7.61112814,NA,1,"ATR_4.MAP2K_1"
"MDA-MB-231","ATR_4","MAP2K_1","1","1",0.877522823,0.8229676,0,1,10,38.00009442,NA,1,"ATR_4.MAP2K_1"
"BT-20","ATR_4","MTOR_1","1","1",0.429900252,1.1133055,0,0.362096842,10,44.79786044,NA,1,"ATR_4.MTOR_1"
"BT-549","ATR_4","MTOR_1","1","1",0.212110937,1.2685768,18.85209849,1,10,20.00011338,NA,1,"ATR_4.MTOR_1"
"CAL-148","ATR_4","MTOR_1","1","1",1,0.9891145,46.70605562,1,10,0.20000957,NA,1,"ATR_4.MTOR_1"
"HCC1143","ATR_4","MTOR_1","1","1",0.859207529,1.0666034,0,0.385841625,10,37.0953991,NA,1,"ATR_4.MTOR_1"
"HCC1187","ATR_4","MTOR_1","1","1",0.265322873,10,12.99870285,0.345866354,10,58.29897679,NA,1,"ATR_4.MTOR_1"
"MDA-MB-453","ATR_4","MTOR_1","1","1",0.271448397,10,12.59844543,0.221401974,2.2633114,5.45274249,NA,1,"ATR_4.MTOR_1"
"NCI-H1437","BCL2","CarboTaxol","0.003","3",0.000618923,0.9917197,0,3,0.1935895,26.4800174,NA,1,"BCL2.CarboTaxol"
"NCI-H1975","BCL2","CarboTaxol","0.01","3",0.002923727,10,26.59964218,3,1.0690986,38.70730234,NA,1,"BCL2.CarboTaxol"
"NCI-H2228","BCL2","CarboTaxol","0.003","3",0.001225238,0.7118166,0,1.737931238,0.5274628,0,NA,1,"BCL2.CarboTaxol"
"NCI-H2291","BCL2","CarboTaxol","0.3","3",0.003580695,1.1514577,41.13364721,0.879887297,2.5519725,16.4755063,NA,1,"BCL2.CarboTaxol"
"NCI-H23","BCL2","CarboTaxol","0.01","3",0.001776033,3.7611236,13.17828167,3,0.3230441,63.21414852,NA,1,"BCL2.CarboTaxol"
"NCI-H358","BCL2","CarboTaxol","0.01","3",0.001669332,1.8178892,29.75178344,0.701281115,0.9357735,80.24289171,NA,1,"BCL2.CarboTaxol"
"C32","BCL2","IGFR_4","10","3",2.885179588,1.7899777,2.56876512,0.240211894,1.2350456,0,NA,1,"BCL2.IGFR_4"
"NCI-H747","BCL2","IGFR_4","10","3",2.586367967,0.2724506,0,1.360582841,0.9586788,0,NA,1,"BCL2.IGFR_4"
"SW948","BCL2","IGFR_4","10","3",0.344112169,0.6463015,0,1.113021051,10,57.29788496,NA,1,"BCL2.IGFR_4"
"C32","BCL2","MAP2K_1","3","3",0.151095024,1.149229,21.66455336,0.238422017,1.9800925,6.91334673,NA,1,"BCL2.MAP2K_1"
"COLO-205","BCL2","MAP2K_1","1","3",0.032538419,1.0821714,2.5237255,0.200521092,1.5405122,0,NA,1,"BCL2.MAP2K_1"
"HT-29","BCL2","MAP2K_1","3","3",0.100015504,0.8415591,23.11887957,1,0,100,NA,1,"BCL2.MAP2K_1"
"C32","BCL2","Oxaliplatin","3","3",3,0.2936135,70.34894403,0.146675,1.1757285,0.99535898,NA,1,"BCL2.Oxaliplatin"
"LS-513","BCL2","Oxaliplatin","10","3",0.006302094,0.9305163,3.86907145,0.61050039,1.3634949,0,NA,1,"BCL2.Oxaliplatin"
"SW837","BCL2","Oxaliplatin","10","3",0.334984272,0.8841907,5.18296638,3,1.4525155,70.47260418,NA,1,"BCL2.Oxaliplatin"
"DMS-114","BCL2","Topotecan","0.1","3",0.048258123,2.2691904,0,3,10,87.60031185,NA,1,"BCL2.Topotecan"
"NCI-H1793","BCL2","Topotecan","0.3","3",0.220982859,1.7626351,0,0.427920879,1.4700199,31.11927669,NA,1,"BCL2.Topotecan"
"NCI-H226","BCL2","Topotecan","0.3","3",0.04382589,0.9165898,0,3,0.7330244,20.32200418,NA,1,"BCL2.Topotecan"
"NCI-H23","BCL2","Topotecan","0.1","3",0.1,1.2932479,22.71544309,0.385240826,1.2781317,73.57861087,NA,1,"BCL2.Topotecan"
"NCI-H358","BCL2","Topotecan","0.1","3",0.050066724,1.2157508,5.57921164,0.747950023,1.6556963,77.32005817,NA,1,"BCL2.Topotecan"
"NCI-H520","BCL2","Topotecan","0.03","3",0.03,1.0646453,0.07648394,1,0,100,NA,1,"BCL2.Topotecan"
"CAMA-1","AKT_1","BCL2_2","3","3",0.02949458,10,92.62499489,1.222738559,1.3291012,0,NA,1,"AKT_1.BCL2_2"
"HCC70","AKT_1","BCL2_2","3","3",1,0,100,3e-04,0.1,89.63786631,NA,1,"AKT_1.BCL2_2"
"MDA-MB-415","AKT_1","BCL2_2","3","3",3,10,64.80063028,0.276957501,1.2965311,43.02539522,NA,1,"AKT_1.BCL2_2"
"MDA-MB-468","AKT_1","BCL2_2","3","3",1.186468578,3.6821177,0,1.243089659,1.5524644,49.25255232,NA,1,"AKT_1.BCL2_2"
"T47D","AKT_1","BCL2_2","3","3",3,10,1.80017614,0.066121955,1.2838057,30.04141264,NA,1,"AKT_1.BCL2_2"
"CAL-120","AKT_1","BCL2_BCL2L1","1","1",0.317658147,0.328293,0,1e-04,0.1,67.91577703,NA,1,"AKT_1.BCL2_BCL2L1"
"CAL-51","AKT_1","BCL2_BCL2L1","1","1",0.208199529,2.4822326,84.84323547,0.315406352,10,68.19968764,NA,1,"AKT_1.BCL2_BCL2L1"
"HCC1428","AKT_1","BCL2_BCL2L1","1","1",0.110312868,1.2498539,10.14569171,1,0,100,NA,1,"AKT_1.BCL2_BCL2L1"
"MDA-MB-157","AKT_1","BCL2_BCL2L1","1","1",0.099278644,10,91.7000146,0.11764306,10,81.14943075,NA,1,"AKT_1.BCL2_BCL2L1"
"MDA-MB-231","AKT_1","BCL2_BCL2L1","1","1",0.584445624,1.0686201,33.48026499,1,0.3576304,58.64172515,NA,1,"AKT_1.BCL2_BCL2L1"
"MDA-MB-436","AKT_1","BCL2_BCL2L1","1","1",1,10,92.60001417,1,10,89.20003778,NA,1,"AKT_1.BCL2_BCL2L1"
"MDA-MB-453","AKT_1","BCL2_BCL2L1","1","1",0.281481737,10,91.89940541,0.073383813,1.2282348,9.06221864,NA,1,"AKT_1.BCL2_BCL2L1"
"T-24","ATR_4","BCL2_BCL2L1","0.3","3",1,0,100,1.114265245,10,12.69563445,NA,1,"ATR_4.BCL2_BCL2L1"
"BT-20","BCL2_BCL2L1","FGFR","1","1",0.288592966,1.6394179,77.9031202,1,0.4430609,61.31368342,NA,1,"BCL2_BCL2L1.FGFR"
"BT-549","BCL2_BCL2L1","FGFR","1","1",0.051786327,1.0576636,61.98757292,0.097162595,1.1351065,82.11154525,NA,1,"BCL2_BCL2L1.FGFR"
"CAL-120","BCL2_BCL2L1","FGFR","1","1",1,0.4345507,48.12085357,0.102566763,1.4958327,33.27189408,NA,1,"BCL2_BCL2L1.FGFR"
"MFM-223","BCL2_BCL2L1","FGFR","1","1",0.131323355,0.5010467,1.12229399,0.446355277,1.3680641,54.25452977,NA,1,"BCL2_BCL2L1.FGFR"
"M14","BCL2_BCL2L1","FGFR","1","1",1,0,100,0.039332547,0.5503847,2.5775905,NA,1,"BCL2_BCL2L1.FGFR"
"CAL-148","BCL2_BCL2L1","MAP2K_1","1","1",0.018341178,1.293816,87.88799591,0.287815919,2.5868165,41.16815717,NA,1,"BCL2_BCL2L1.MAP2K_1"
"HCC1143","BCL2_BCL2L1","MAP2K_1","1","1",0.087328185,0.5168042,37.20056932,0.801592038,1.1468019,17.97075734,NA,1,"BCL2_BCL2L1.MAP2K_1"
"HCC1428","BCL2_BCL2L1","MAP2K_1","1","1",1,2.0597229,88.41237616,0.138766403,0.9400804,0,NA,1,"BCL2_BCL2L1.MAP2K_1"
"HCC1937","BCL2_BCL2L1","MAP2K_1","1","1",0.053100033,1.1844177,82.82540909,0.29186947,1.5652029,72.0733652,NA,1,"BCL2_BCL2L1.MAP2K_1"
"HCC38","BCL2_BCL2L1","MAP2K_1","1","1",0.058587621,3.7796448,90.00571941,0.199138196,3.8224812,10.31065797,NA,1,"BCL2_BCL2L1.MAP2K_1"
"Hs-578-T","BCL2_BCL2L1","MAP2K_1","1","1",0.260598711,1.7016111,78.92818475,0.088659424,10,72.04958557,NA,1,"BCL2_BCL2L1.MAP2K_1"
"MDA-MB-436","BCL2_BCL2L1","MAP2K_1","1","1",0.035775802,0.9231117,62.18500645,0.111258283,10,91.40014097,NA,1,"BCL2_BCL2L1.MAP2K_1"
"MDA-MB-468","BCL2_BCL2L1","MAP2K_1","1","1",1,0.5543353,68.77446861,0.321539536,0.81742,53.45253132,NA,1,"BCL2_BCL2L1.MAP2K_1"
"CAL-120","BCL2_BCL2L1","PIK3CA_4","1","1",1,10,91.20014224,0.151660225,1.1114906,25.86627349,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"DU-4475","BCL2_BCL2L1","PIK3CA_4","1","1",0.401593808,2.1904494,42.61925432,1e-04,1.3741144,0.21466155,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"HCC70","BCL2_BCL2L1","PIK3CA_4","1","1",1e-04,0.1,88.37407468,1,0,100,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"MDA-MB-157","BCL2_BCL2L1","PIK3CA_4","1","1",0.242613489,10,84.89360147,0.096669465,1.7756778,84.97705373,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"MDA-MB-436","BCL2_BCL2L1","PIK3CA_4","1","1",0.421641148,2.0671246,85.54641743,0.256031042,10,89.99950406,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"MFM-223","BCL2_BCL2L1","PIK3CA_4","1","1",0.315716074,1.5367795,37.93100518,0.321382918,10,67.99960284,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"M14","BCL2_BCL2L1","PIK3CA_4","1","1",1,10,76.40033328,0.036806989,0.8832468,15.64202439,NA,1,"BCL2_BCL2L1.PIK3CA_4"
"CAMA-1","AKT","BCL2L1","3","3",1.106463174,10,90.99957826,0.061472264,0.5483672,0,NA,1,"AKT.BCL2L1"
"HCC1395","AKT","BCL2L1","3","3",3e-04,0.1,70.67767666,0.018526893,1.4014006,34.8944507,NA,1,"AKT.BCL2L1"
"MCF7","AKT","BCL2L1","3","3",3e-04,0.1,55.91235331,1.446721909,1.5509286,0,NA,1,"AKT.BCL2L1"
"MDA-MB-361","AKT","BCL2L1","3","3",1.16698135,0.4044942,29.67115871,0.430111387,0.6420235,0,NA,1,"AKT.BCL2L1"
"MDA-MB-453","AKT","BCL2L1","3","3",3,0.268595,67.32258371,2.007504174,0.6334267,0,NA,1,"AKT.BCL2L1"
"CAMA-1","AKT_1","BCL2L1","3","3",0.000360051,7.8411104,91.04,1.315592364,1.4910524,0,NA,1,"AKT_1.BCL2L1"
"HCC1187","AKT_1","BCL2L1","3","3",3,0.1521882,42.60599595,0.075821199,1.0264648,32.20519645,NA,1,"AKT_1.BCL2L1"
"HCC1419","AKT_1","BCL2L1","3","3",3,0.2536872,47.09248921,0.123200625,1.0252188,30.96352815,NA,1,"AKT_1.BCL2L1"
"MDA-MB-361","AKT_1","BCL2L1","3","3",1.229508668,0.8011362,68.06968849,0.09764462,0.8500762,21.31328371,NA,1,"AKT_1.BCL2L1"
"MDA-MB-415","AKT_1","BCL2L1","3","3",0.073254933,0.6051695,84.73875122,0.298742772,0.7899493,27.69593211,NA,1,"AKT_1.BCL2L1"
"BT-20","BCL2L1","MTOR_1","1","3",0.095580754,1.478484,36.10912465,0.033444586,10,88.49998032,NA,1,"BCL2L1.MTOR_1"
"CAMA-1","BCL2L1","MTOR_1","1","3",0.152371767,2.5042622,20.86265318,3e-04,0.1,89.13199583,NA,1,"BCL2L1.MTOR_1"
"HCC1395","BCL2L1","MTOR_1","1","3",0.282004835,10,48.29974797,3e-04,0.1,70.87304045,NA,1,"BCL2L1.MTOR_1"
"HCC70","BCL2L1","MTOR_1","1","3",0.014388008,0.2584179,0,0.02306901,1.0191729,41.42823966,NA,1,"BCL2L1.MTOR_1"
"MDA-MB-436","BCL2L1","MTOR_1","1","3",0.052085528,1.2625371,44.384614,0.112422829,0.9780716,90.88361976,NA,1,"BCL2L1.MTOR_1"
"BT-20","BCL2L1","PIK3C","3","3",1.032448259,2.8151521,43.54394225,0.082374988,10,91.76621056,NA,1,"BCL2L1.PIK3C"
"HCC1419","BCL2L1","PIK3C","3","3",0.434391289,1.0893954,17.598227,3,0.3048951,41.71781263,NA,1,"BCL2L1.PIK3C"
"MCF7","BCL2L1","PIK3C","3","3",0.153224045,1.222832,8.30909228,0.005810252,0.1,48.74587552,NA,1,"BCL2L1.PIK3C"
"MDA-MB-361","BCL2L1","PIK3C","3","3",0.318423946,0.939266,0,1.646291208,0.4440287,20.92108473,NA,1,"BCL2L1.PIK3C"
"MDA-MB-453","BCL2L1","PIK3C","3","3",1.035410593,1.196122,0,3,0.3631745,85.56081783,NA,1,"BCL2L1.PIK3C"
"BT-20","BRAF_M2","MAP2K_1","3","3",0.431124322,0.469998,57.36543513,0.845698302,2.3367231,73.70011626,NA,1,"BRAF_M2.MAP2K_1"
"HCC1954","BRAF_M2","MAP2K_1","3","3",0.074006759,0.8534554,54.3057312,3,0.1304067,66.97990582,NA,1,"BRAF_M2.MAP2K_1"
"MDA-MB-157","BRAF_M2","MAP2K_1","3","3",0.038248388,0.3330532,53.6672819,0.024989635,0.1,63.24419994,NA,1,"BRAF_M2.MAP2K_1"
"MDA-MB-361","BRAF_M2","MAP2K_1","3","3",3e-04,0.1,76.26580257,3,0.2604756,32.43488421,NA,1,"BRAF_M2.MAP2K_1"
"CAMA-1","BRAF_M2","MAP2K_3","0.3","3",0.3,0.2985731,72.3448631,3,0.3439503,57.35962628,NA,1,"BRAF_M2.MAP2K_3"
"HCC1187","BRAF_M2","MAP2K_3","0.3","3",0.090265882,0.7331031,50.03348891,1,0,100,NA,1,"BRAF_M2.MAP2K_3"
"HCC1419","BRAF_M2","MAP2K_3","0.3","3",0.3,0.5037625,3.33733174,3,1.7748107,53.62238801,NA,1,"BRAF_M2.MAP2K_3"
"HCC1954","BRAF_M2","MAP2K_3","0.3","3",0.011632608,0.3749081,0,3,0.1589546,44.19052785,NA,1,"BRAF_M2.MAP2K_3"
"MDA-MB-361","BRAF_M2","MAP2K_3","0.3","3",0.3,0.2561209,48.40172306,3,0.3309533,23.48052302,NA,1,"BRAF_M2.MAP2K_3"
"MDA-MB-415","BRAF_M2","MAP2K_3","0.3","3",0.167208924,0.3986153,0,3,0.2694852,74.25591384,NA,1,"BRAF_M2.MAP2K_3"
"NCI-H1975","BRAF_M2","MAP2K_3","0.3","3",0.011464172,1.6819294,24.06904179,0.44871388,1.3182832,72.10891423,NA,1,"BRAF_M2.MAP2K_3"
"NCI-H2085","BRAF_M2","MAP2K_3","0.3","3",0.002611974,0.5599582,13.65144679,3e-04,0.1,77.84394767,NA,1,"BRAF_M2.MAP2K_3"
"NCI-H2291","BRAF_M2","MAP2K_3","0.3","3",0.006107504,0.993825,6.60561211,1.579043797,0.7420077,0,NA,1,"BRAF_M2.MAP2K_3"
"NCI-H23","BRAF_M2","MAP2K_3","0.3","3",0.014097569,0.6600921,12.11441147,1.100857846,10,63.49837999,NA,1,"BRAF_M2.MAP2K_3"
"NCI-H358","BRAF_M2","MAP2K_3","0.3","3",0.030926784,1.7411436,22.97490357,1,0,100,NA,1,"BRAF_M2.MAP2K_3"
"HCC1419","ATR_4","CarboTaxol","0.01","3",0.002590562,10,73.29910274,0.972757061,10,69.39957705,NA,1,"ATR_4.CarboTaxol"
"HCC1569","ATR_4","CarboTaxol","0.01","3",0.01,0.21376,21.76575409,3,0.3457475,7.60229325,NA,1,"ATR_4.CarboTaxol"
"HCC70","ATR_4","CarboTaxol","0.01","3",0.000205909,0.757844,31.62740188,0.001940544,0.2391583,0,NA,1,"ATR_4.CarboTaxol"
"MDA-MB-157","ATR_4","CarboTaxol","0.01","3",0.002044701,1.6265759,7.34407721,1.033183069,10,45.59870804,NA,1,"ATR_4.CarboTaxol"
"MDA-MB-468","ATR_4","CarboTaxol","0.01","3",0.000620498,0.8712713,0,0.656927834,0.9994698,22.22697846,NA,1,"ATR_4.CarboTaxol"
"NCI-H2085","ATR_4","CarboTaxol","1","3",0.00908262,10,41.12491913,1.190733503,10,67.6968648,NA,1,"ATR_4.CarboTaxol"
"NCI-H2228","ATR_4","CarboTaxol","0.003","3",0.00119611,1.279633,0,1.950838337,2.4081602,25.0819005,NA,1,"ATR_4.CarboTaxol"
"NCI-H3122","ATR_4","CarboTaxol","0.01","3",0.002753712,10,0,1.0632344,10,18.59744799,NA,1,"ATR_4.CarboTaxol"
"SW900","ATR_4","CarboTaxol","0.01","3",0.001890865,1.7359671,19.8812819,1.31943516,1.8103702,20.81137889,NA,1,"ATR_4.CarboTaxol"
"NCI-H1299","BCL2L1","CarboTaxol","0.01","3",0.003789363,1.7388706,8.93239198,0.204597352,1.2696443,92.59699396,NA,1,"BCL2L1.CarboTaxol"
"NCI-H1437","BCL2L1","CarboTaxol","0.003","3",0.00112076,1.0724686,0,0.180776827,1.1139149,74.18521764,NA,1,"BCL2L1.CarboTaxol"
"NCI-H1975","BCL2L1","CarboTaxol","0.01","3",0.002998346,10,27.79952812,0.609798554,1.6719887,78.83209083,NA,1,"BCL2L1.CarboTaxol"
"NCI-H23","BCL2L1","CarboTaxol","0.01","3",0.002058281,3.8125932,15.52583969,1,0,100,NA,1,"BCL2L1.CarboTaxol"
"SW900","BCL2L1","CarboTaxol","0.01","3",0.002185126,0.7483059,0,0.058906888,0.603065,50.4746011,NA,1,"BCL2L1.CarboTaxol"
"A549","CHEK1","IAP","3","1",3,0.3573386,46.16629024,0.732862505,1.2807312,0,NA,1,"CHEK1.IAP"
"BFTC-905","CHEK1","IAP","3","1",3e-04,0.2725697,0,0.234714674,1.8350428,0,NA,1,"CHEK1.IAP"
"HT-1197","CHEK1","IAP","3","1",3,10,8.40016946,0.301193728,10,29.3994347,NA,1,"CHEK1.IAP"
"NCI-H1299","CHEK1","IAP","1","1",0.077645496,1.1799025,34.25384968,0.303325002,10,12.79938976,NA,1,"CHEK1.IAP"
"NCI-H23","CHEK1","IAP","1","1",0.006845097,0.4533024,36.60295453,0.206735162,2.80657,11.45711853,NA,1,"CHEK1.IAP"
"NCI-H3122","CHEK1","IAP","0.3","1",0.3,0.2641944,46.55295254,0.192822657,2.0083966,0,NA,1,"CHEK1.IAP"
"NCI-H520","CHEK1","IAP","3","1",1,0,100,0.28011794,3.3114204,27.03828104,NA,1,"CHEK1.IAP"
"NCI-H522","CHEK1","IAP","0.3","1",0.006774127,0.232902,0,0.380638648,10,37.39600272,NA,1,"CHEK1.IAP"
"SW900","CHEK1","IAP","3","1",0.728964708,0.1972552,0,0.229485073,2.5369686,19.86522951,NA,1,"CHEK1.IAP"
"T-24","CHEK1","IAP","1","1",1,0.5401121,71.20590009,0.261033914,10,1.09966134,NA,1,"CHEK1.IAP"
"HCC1187","AKT","Chloroquine","10","3",0.001,0.1,82.67473119,0.302781935,1.5966416,3.35485108,NA,1,"AKT.Chloroquine"
"HCC1954","AKT","Chloroquine","10","3",3.202415649,10,88.89986257,0.189720199,0.4137915,0,NA,1,"AKT.Chloroquine"
"MDA-MB-157","AKT","Chloroquine","10","3",1,0,100,0.271872968,0.1628438,0,NA,1,"AKT.Chloroquine"
"CAMA-1","AKT_1","Chloroquine","0.1","3",0.002582989,0.8484643,11.58870171,0.445120782,0.5533027,0,NA,1,"AKT_1.Chloroquine"
"HCC1419","AKT_1","Chloroquine","10","3",1.191989191,10,87.09935537,0.158475452,1.0878398,34.34746212,NA,1,"AKT_1.Chloroquine"
"MDA-MB-361","AKT_1","Chloroquine","10","3",3.37097759,1.0763155,70.48649733,0.084343171,0.7278502,14.64061781,NA,1,"AKT_1.Chloroquine"
"MDA-MB-415","AKT_1","Chloroquine","10","3",0.220101984,1.1099641,93.38744376,0.176374196,1.5505511,29.79994979,NA,1,"AKT_1.Chloroquine"
"MDA-MB-453","AKT_1","Chloroquine","10","3",0.29366834,10,84.63328415,0.21558547,0.5853244,19.85337451,NA,1,"AKT_1.Chloroquine"
"HCC1419","Chloroquine","PIK3C","3","10",0.528184247,0.800055,9.69180718,10,0.1551195,18.19906215,NA,1,"Chloroquine.PIK3C"
"HCC1569","Chloroquine","PIK3C","3","10",0.357115825,0.7919289,28.62010062,10,0.1544758,30.22589957,NA,1,"Chloroquine.PIK3C"
"MDA-MB-436","Chloroquine","PIK3C","3","10",1.657990989,0.9222455,35.4389942,10,10,92.60006609,NA,1,"Chloroquine.PIK3C"
"MDA-MB-453","Chloroquine","PIK3C","3","10",1.044043155,1.23629,0,1.093351428,1.5624803,86.19593264,NA,1,"Chloroquine.PIK3C"
"HT-1376","AKT","Cisplatin","3","3",0.903796337,0.9391492,16.80411619,0.220206407,0.7561132,26.16972079,NA,1,"AKT.Cisplatin"
"SW780","AKT","Cisplatin","3","3",2.502142647,1.8200491,55.32185464,0.291077151,2.4424353,30.16250157,NA,1,"AKT.Cisplatin"
"T-24","AKT","Cisplatin","3","3",2.717351302,10,0,1,0,100,NA,1,"AKT.Cisplatin"
"HT-1197","Cisplatin","FGFR","3","3",3,0.2487653,27.73453757,0.382856772,0.3626157,0,NA,1,"Cisplatin.FGFR"
"HT-1376","Cisplatin","FGFR","3","3",3,10,62.40056241,0.940159555,2.0672411,28.83284979,NA,1,"Cisplatin.FGFR"
"UM-UC-3","Cisplatin","FGFR","3","3",3,0.1897426,84.61706827,1.167520268,2.1600282,0,NA,1,"Cisplatin.FGFR"
"647-V","Cisplatin","HDAC_4","3","3",1.18962648,1.5965713,0,1.238738139,3.0092165,0,NA,1,"Cisplatin.HDAC_4"
"HT-1376","Cisplatin","HDAC_4","3","3",0.931595986,1.2320853,18.21076497,1.711871749,0.9694254,0,NA,1,"Cisplatin.HDAC_4"
"UM-UC-3","Cisplatin","HDAC_4","3","3",1.326402318,3.8588276,20.11542265,1.253232983,2.4603084,0,NA,1,"Cisplatin.HDAC_4"
"647-V","Cisplatin","PARP1","3","3",3,0.6972082,68.03534811,1.449955089,3.2037872,0,NA,1,"Cisplatin.PARP1"
"BFTC-905","Cisplatin","PARP1","3","3",3,0.9933389,17.45368152,0.623829959,2.2983987,1.96458404,NA,1,"Cisplatin.PARP1"
"HT-1197","Cisplatin","PARP1","3","3",0.745098673,1.7927337,61.06223608,0.405020419,2.7379723,43.38245412,NA,1,"Cisplatin.PARP1"
"BFTC-905","Cisplatin","PIK3C","3","3",1.143977556,0.7008276,0,0.496954451,1.5147385,0,NA,1,"Cisplatin.PIK3C"
"HT-1197","Cisplatin","PIK3C","3","3",2.492251331,0.4118499,1.94718001,0.178387122,0.6071887,19.81974322,NA,1,"Cisplatin.PIK3C"
"J82","Cisplatin","PIK3C","3","3",1.536398394,0.6444622,0,0.491359844,1.1452514,0,NA,1,"Cisplatin.PIK3C"
"EVSA-T","AKT","CSNK2A1_2","10","3",3.346888869,10,10.29840984,0.016786627,10,0,NA,1,"AKT.CSNK2A1_2"
"HCC1395","AKT","CSNK2A1_2","0.1","3",0.004515787,1.378456,0.09704396,0.09309948,10,42.66655111,NA,1,"AKT.CSNK2A1_2"
"HCC1419","AKT","CSNK2A1_2","0.1","3",0.003641588,1.1618582,18.49384557,0.542413673,0.4871672,0,NA,1,"AKT.CSNK2A1_2"
"MDA-MB-157","AKT","CSNK2A1_2","0.1","3",0.009980165,1.3812483,3.40549826,0.292017156,0.2549946,0,NA,1,"AKT.CSNK2A1_2"
"MDA-MB-436","AKT","CSNK2A1_2","0.1","3",0.009415855,1.1568113,15.25538645,0.305098484,0.4105131,34.23292056,NA,1,"AKT.CSNK2A1_2"
"T47D","AKT","CSNK2A1_2","0.1","3",0.008823486,2.8229599,27.4601731,0.146192598,0.9370782,19.17815528,NA,1,"AKT.CSNK2A1_2"
"NCI-H1563","ALK","CSNK2A1_2","0.03","3",0.005417844,0.5682873,0,0.754290457,1.8319487,1.57823387,NA,1,"ALK.CSNK2A1_2"
"NCI-H2085","ALK","CSNK2A1_2","0.03","3",0.008803975,0.8132303,0,0.708213562,1.1611067,0,NA,1,"ALK.CSNK2A1_2"
"NCI-H2291","ALK","CSNK2A1_2","0.01","3",0.002252933,2.1396115,25.40129153,1.440152182,0.7961276,0,NA,1,"ALK.CSNK2A1_2"
"NCI-H522","ALK","CSNK2A1_2","0.03","3",0.0042594,3.86426,8.7613258,1.38726869,1.6529196,0,NA,1,"ALK.CSNK2A1_2"
"NCI-H838","ALK","CSNK2A1_2","0.1","3",0.007432922,2.7826321,5.46802682,0.900819566,1.6197774,0,NA,1,"ALK.CSNK2A1_2"
"SW900","ALK","CSNK2A1_2","0.01","3",0.003633001,1.3698433,11.29878632,1.596405604,0.6855835,0,NA,1,"ALK.CSNK2A1_2"
"A549","BCL2","CSNK2A1_2","0.1","3",0.015562849,5.6593809,11.39482729,0.114476035,0.9387489,10.96781573,NA,1,"BCL2.CSNK2A1_2"
"NCI-H1299","BCL2","CSNK2A1_2","0.1","3",0.027342399,2.0656588,6.77225003,3,0.3117985,87.66829501,NA,1,"BCL2.CSNK2A1_2"
"NCI-H1793","BCL2","CSNK2A1_2","0.1","3",0.011102358,2.2607682,8.72239927,0.364732707,1.4789872,33.68148717,NA,1,"BCL2.CSNK2A1_2"
"NCI-H23","BCL2","CSNK2A1_2","0.1","3",0.008584726,1.6344636,8.92163396,0.772515102,10,82.79503065,NA,1,"BCL2.CSNK2A1_2"
"NCI-H358","BCL2","CSNK2A1_2","0.1","3",0.010364557,2.9603302,16.00887811,2.894967511,1.0988359,65.33494489,NA,1,"BCL2.CSNK2A1_2"
"NCI-H838","BCL2","CSNK2A1_2","0.1","3",0.007516347,2.8331899,5.20697375,3,0.7943412,62.37099187,NA,1,"BCL2.CSNK2A1_2"
"NCI-H1299","CarboTaxol","CSNK2A1_2","0.1","0.01",0.024823269,1.9588842,6.45479044,0.003061849,10,22.29942827,NA,1,"CarboTaxol.CSNK2A1_2"
"NCI-H1975","CarboTaxol","CSNK2A1_2","0.03","0.01",0.022717917,2.3755202,0,0.00252952,3.3479375,25.77505686,NA,1,"CarboTaxol.CSNK2A1_2"
"NCI-H358","CarboTaxol","CSNK2A1_2","0.1","0.01",0.010343955,10,17.59896722,0.001810512,2.1065406,34.31395232,NA,1,"CarboTaxol.CSNK2A1_2"
"NCI-H522","CarboTaxol","CSNK2A1_2","0.03","0.01",0.003809814,3.7127039,7.77408891,0.001835205,3.3449707,11.65536854,NA,1,"CarboTaxol.CSNK2A1_2"
"NCI-H838","CarboTaxol","CSNK2A1_2","0.1","0.01",0.009488482,2.6343486,4.09237937,0.001448544,3.6843486,3.29447593,NA,1,"CarboTaxol.CSNK2A1_2"
"A549","Carboplatin","CSNK2A1_2","0.1","3",0.015112221,4.462467,9.72153814,1,0,100,NA,1,"Carboplatin.CSNK2A1_2"
